_id,workerId,taskID,forecast,treatment,timestamp
WGEWtZf8TEcvGRhxL,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,1,0.67,4,1538801237781
Szhp96QfwpBRfjs4B,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,2,0.7,4,1538801237783
HCxLqkBZud8tneKSe,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,3,0.28,4,1538801237784
dt7ukYtj4LGdQqJfy,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,4,0.8,4,1538801237785
aSd6bzxoo9tBLyRTB,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,5,0.58,4,1538801237785
hSYGs755EKuGwDsJq,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,6,0.62,4,1538801237785
JwJA6EcqPSvCjmwWh,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,7,0.79,4,1538801269759
f7hgToYh7YJHgihaD,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,8,0.32,4,1538801269761
8Tn7Kbp2DGSByT6Y4,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,9,0.33,4,1538801269762
uqBCr7N9jaHufYJQd,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,10,0.36,4,1538801269762
kJmbbxsQeknkLXDiN,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,11,0.34,4,1538801269762
xgeLg94ps99qL5a84,10e464665d05b5a3d7943a27c5c808e08a7f766ae019a47af16710e56c26c455,12,0.65,4,1538801269762
CwA688AY2s56Cm7KB,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,1,0.65,4,1538801280794
f49yJFcFNQxrPGsWd,30c62ce03bb26d79fc9d1188b604a62e9dd07bda1f5ec9e4d771669db8fc8b00,2,0.74,4,1538801280794
