_id,workerId,treatment,taskID,forecast,timestamp,Category,BrierScore,PPPayment
tCuzMsQb5b6nsYkaN,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,1,0.56,1538801680709,Sports,0.38719999999999993,0.65
yqhBWDdzq2s2oivBG,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,2,0,1538801680712,Sports,0,0.205
KkfkFhQdqBQeosYMx,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,3,1,1538801680712,Sports,2,0.4
Y8qA437uiRfXbfkK7,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,4,0,1538801680714,Sports,2,0.24
Sjx6puse2qwCky3sX,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,5,0,1538801680716,Sports,0,0.3
JdJzR7svWh9nca3kR,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,6,0.93,1538801680717,Sports,1.7298000000000002,0.555
kcCGAo44hkQL5pP35,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,7,1,1538801982912,Politics,2,0.57
8aB7z5SBAZy3SHohe,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,8,0.63,1538801982914,Politics,0.2738,0.565
YpPagxcvbK4fB8z4m,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,9,0.44,1538801982915,Politics,0.3872,0.57
vNBLCJ4NGAutXNX6R,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,10,0.84,1538801982917,Politics,1.4111999999999998,0.395
bhoan9naXJkG5P7ho,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,11,0.72,1538801982918,Politics,1.0368,0.345
eyWRvj4ehwwAREjJc,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,12,1,1538801982919,Politics,2,0.37
WweXN2gHRqyiAS7ZQ,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,1,0.72,1538802215609,Sports,0.15680000000000002,0.58
fWwo8LHKSuuyAFrtN,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,2,0.67,1538802215611,Sports,0.8978000000000002,0.595
zi983ZminmgE6dWL8,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,3,0.67,1538802215613,Sports,0.8978000000000002,0.375
kLK4nMfPMNrqvnpse,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,4,0.71,1538802215615,Sports,0.16820000000000004,0.615
28nNFnTXyTcweRWhi,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,5,0.67,1538802215617,Sports,0.8978000000000002,0.51
E2rNpt2jYQseK4LnH,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,6,0.62,1538802215618,Sports,0.7688,0.58
Dtae7CncYShWr39Pq,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,7,0.62,1538802227599,Politics,0.7688,0.52
us8hkP3jLbDjHSbYo,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,8,0.72,1538802227601,Politics,0.15680000000000002,0.575
KZ9i68Yc8EwtzQKzZ,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,9,0.67,1538802227602,Politics,0.8978000000000002,0.38
CWRpo2KsAZtoW6NZP,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,10,0.59,1538802227604,Politics,0.6961999999999999,0.385
ohDzcgFLcuvsdh9a9,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,11,0.61,1538802227605,Politics,0.7442,0.39
X8YRB6mnyGFqAhiXm,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,12,0.57,1538802227606,Politics,0.6497999999999999,0.415
3RGB4T7S4GcnNG6Ba,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,13,0.74,1538802237877,Entertainment,1.0952,0.525
