_id,workerId,taskID,forecast,treatment,timestamp,Category,BrierScore,PPPayment
tCuzMsQb5b6nsYkaN,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,1,0.56,1,1538801680709,Sports,0.38719999999999993,0.665
yqhBWDdzq2s2oivBG,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,2,0,1,1538801680712,Sports,0,0.215
KkfkFhQdqBQeosYMx,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,3,1,1,1538801680712,Sports,2,0.46
Y8qA437uiRfXbfkK7,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,4,0,1,1538801680714,Sports,2,0.185
Sjx6puse2qwCky3sX,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,5,0,1,1538801680716,Sports,0,0.305
JdJzR7svWh9nca3kR,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,6,0.93,1,1538801680717,Sports,1.7298000000000002,0.52
kcCGAo44hkQL5pP35,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,7,1,1,1538801982912,Politics,2,0.635
8aB7z5SBAZy3SHohe,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,8,0.63,1,1538801982914,Politics,0.2738,0.535
YpPagxcvbK4fB8z4m,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,9,0.44,1,1538801982915,Politics,0.3872,0.605
vNBLCJ4NGAutXNX6R,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,10,0.84,1,1538801982917,Politics,1.4111999999999998,0.375
bhoan9naXJkG5P7ho,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,11,0.72,1,1538801982918,Politics,1.0368,0.43
eyWRvj4ehwwAREjJc,5379440012f00e0925abf3627e165157393acad23d8e9fe4947d3dd04a4f9fc0,12,1,1,1538801982919,Politics,2,0.32
WweXN2gHRqyiAS7ZQ,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,1,0.72,1,1538802215609,Sports,0.15680000000000002,0.54
fWwo8LHKSuuyAFrtN,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,2,0.67,1,1538802215611,Sports,0.8978000000000002,0.645
zi983ZminmgE6dWL8,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,3,0.67,1,1538802215613,Sports,0.8978000000000002,0.415
kLK4nMfPMNrqvnpse,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,4,0.71,1,1538802215615,Sports,0.16820000000000004,0.58
28nNFnTXyTcweRWhi,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,5,0.67,1,1538802215617,Sports,0.8978000000000002,0.555
E2rNpt2jYQseK4LnH,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,6,0.62,1,1538802215618,Sports,0.7688,0.505
Dtae7CncYShWr39Pq,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,7,0.62,1,1538802227599,Politics,0.7688,0.565
us8hkP3jLbDjHSbYo,e9873c340b039dfdcb285431e9671f8c89168d1d3269c1f2c34b9108e600eb7b,8,0.72,1,1538802227601,Politics,0.15680000000000002,0.52
