_id,workerId,treatment,taskID,forecast,timestamp,Category,BrierScore,PPPayment
WweXN2gHRqyiAS7ZQ,1dc88070,1,1,0.72,1538802215609,Sports,0.15680000000000002,0.525
fWwo8LHKSuuyAFrtN,1dc88070,1,2,0.67,1538802215611,Sports,0.8978000000000002,0.54
zi983ZminmgE6dWL8,1dc88070,1,3,0.67,1538802215613,Sports,0.8978000000000002,0.45
kLK4nMfPMNrqvnpse,1dc88070,1,4,0.71,1538802215615,Sports,0.16820000000000004,0.655
28nNFnTXyTcweRWhi,1dc88070,1,5,0.67,1538802215617,Sports,0.8978000000000002,0.46
E2rNpt2jYQseK4LnH,1dc88070,1,6,0.62,1538802215618,Sports,0.7688,0.58
Dtae7CncYShWr39Pq,1dc88070,1,7,0.62,1538802227599,Politics,0.7688,0.48
us8hkP3jLbDjHSbYo,1dc88070,1,8,0.72,1538802227601,Politics,0.15680000000000002,0.55
KZ9i68Yc8EwtzQKzZ,1dc88070,1,9,0.67,1538802227602,Politics,0.8978000000000002,0.495
CWRpo2KsAZtoW6NZP,1dc88070,1,10,0.59,1538802227604,Politics,0.6961999999999999,0.45
ohDzcgFLcuvsdh9a9,1dc88070,1,11,0.61,1538802227605,Politics,0.7442,0.4
X8YRB6mnyGFqAhiXm,1dc88070,1,12,0.57,1538802227606,Politics,0.6497999999999999,0.39
3RGB4T7S4GcnNG6Ba,1dc88070,1,13,0.74,1538802237877,Entertainment,1.0952,0.54
9CESKQiT7bo3t7APD,1dc88070,1,14,0.71,1538802237877,Entertainment,0.16820000000000004,0.595
M89bCxg3wJFQyv8Ye,1dc88070,1,15,0.61,1538802237877,Entertainment,0.7442,0.505
BMbKutBDpAufNkmu9,1dc88070,1,16,0.63,1538802237879,Entertainment,0.2738,0.53
BAQqzv3yRkcS9ojJj,1dc88070,1,17,0.78,1538802237879,Entertainment,1.2168,0.505
tjgrv46myxcN2R5vd,1dc88070,1,18,0.65,1538802237880,Entertainment,0.8450000000000001,0.51
JkrNcFt2dn9QWjDH7,4cc88368,1,1,0.69,1538802663680,Sports,0.19220000000000007,0.575
CsRRTRGMq2cKoGgN7,4cc88368,1,2,0.85,1538802663681,Sports,1.4449999999999998,0.58
hkTDYytGNvBnTDzHE,4cc88368,1,3,0.22,1538802663681,Sports,0.0968,0.48
xaT2Mh9EJixaESBhX,4cc88368,1,4,0.33,1538802663681,Sports,0.8977999999999998,0.705
nnHfcg4LtojkDtbZC,4cc88368,1,5,0.12,1538802663681,Sports,0.0288,0.415
t88GEo7aKRkYcMFgZ,4cc88368,1,6,0.73,1538802663681,Sports,1.0657999999999999,0.535
RjvnkZxYGGKgCdDq7,4cc88368,1,7,0.3,1538802714119,Politics,0.18,0.635
Ge7jvWgkHBq5TsEEz,4cc88368,1,8,0.75,1538802714119,Politics,0.125,0.55
AA7GkmrKZbZ5YBCtz,4cc88368,1,9,0.36,1538802714119,Politics,0.2592,0.605
iEz9cBZGYgZWjwaii,4cc88368,1,10,0.12,1538802714119,Politics,0.0288,0.505
4f4meztxRz6WtWEFy,4cc88368,1,11,0.27,1538802714119,Politics,0.1458,0.41
FsCpBioF4ywY3RFYq,4cc88368,1,12,0.17,1538802714120,Politics,0.05780000000000001,0.41
xQeGv5DzgokGCJMkd,4cc88368,1,13,0.28,1538802787419,Entertainment,0.15680000000000002,0.305
e2fXqZDAqKRnd75qh,4cc88368,1,14,0.36,1538802787420,Entertainment,0.8192,0.66
kGp2haNyRqydBuYXj,4cc88368,1,15,0.67,1538802787420,Entertainment,0.8978000000000002,0.595
BK9ZE7QyrZcd8HFXn,4cc88368,1,16,0.66,1538802787420,Entertainment,0.23119999999999996,0.51
ytc7WJaSQAQ9JrJz8,4cc88368,1,17,0.35,1538802787420,Entertainment,0.24499999999999997,0.58
rnfYdFdBo4Cjqt3fd,4cc88368,1,18,0.27,1538802787420,Entertainment,0.1458,0.46
KQDvkkg95KsHbRp2h,26032feb,1,7,0,1538803655609,Politics,0,0.285
ejq5G2wNSoFNvFia2,26032feb,1,8,0,1538803655621,Politics,2,0.28
Y3DgwjhXQx8oa3aGF,26032feb,1,9,0.18,1538803655628,Politics,0.0648,0.475
jQqkJD42iwg2xq4fe,26032feb,1,10,0.58,1538803655630,Politics,0.6728,0.475
ucaXdCd3DFYvhd4Bk,26032feb,1,11,0.53,1538803655632,Politics,0.5618000000000001,0.535
ve94wPd5ExxgcYFMS,26032feb,1,12,0,1538803655634,Politics,0,0.46
sAuNpfxXSbC4855zP,26032feb,1,13,0.66,1538803695143,Entertainment,0.8712000000000001,0.56
FHo9gSdXDyPaCxRaQ,26032feb,1,14,0.96,1538803695151,Entertainment,0.003200000000000006,0.635
fc9FaFbTKEWLqZrYo,26032feb,1,15,0.01,1538803695153,Entertainment,2e-4,0.33
bnGYo8SKgdCrM8Djg,26032feb,1,16,0.65,1538803695160,Entertainment,0.24499999999999997,0.5
XoWQTuwENyT7LhybS,26032feb,1,17,1,1538803695162,Entertainment,2,0.525
pdizQPzxMGgNp8kc3,26032feb,1,18,0.54,1538803695163,Entertainment,0.5832,0.595
EHGNWk6Zq2X4xHAH4,d996f9d8,1,1,0.78,1538804604606,Sports,0.09679999999999998,0.615
PxCf2g4fAbCGHwC8i,d996f9d8,1,2,0.9,1538804604608,Sports,1.62,0.55
gFbNHWzcAayTTHhRq,d996f9d8,1,3,0.27,1538804604611,Sports,0.1458,0.53
s6HHTQELFA4CzZcK3,d996f9d8,1,4,0.83,1538804604611,Sports,0.057800000000000025,0.615
HX2ZxFmFrhGG74umt,d996f9d8,1,5,0.87,1538804604612,Sports,1.5138,0.505
Rmocn8HaRgEao5fRW,d996f9d8,1,6,0.14,1538804604613,Sports,0.039200000000000006,0.425
q57wRsDabZqwZb5ms,d996f9d8,1,7,0.81,1538804807761,Politics,1.3122000000000003,0.535
rLYxHg8kBnZMDYusQ,d996f9d8,1,8,0.18,1538804807763,Politics,1.3448000000000002,0.375
fd2DK2nGbmGLrawyz,d996f9d8,1,9,0.22,1538804807763,Politics,0.0968,0.5
QYATustyD7Thzvs4N,d996f9d8,1,10,0.2,1538804807765,Politics,0.08000000000000002,0.555
ccwtGpsSZMWZAQ2t7,d996f9d8,1,11,0.67,1538804807766,Politics,0.8978000000000002,0.4
pohYG3QwMaY3A3qLz,d996f9d8,1,12,0.06,1538804807769,Politics,0.0072,0.39
kLqsa8AYfPYbGunyu,d996f9d8,1,13,0.64,1538805092174,Entertainment,0.8192,0.545
GNYDHnAJuajYcGiYE,d996f9d8,1,14,0.34,1538805092176,Entertainment,0.8711999999999998,0.63
DaL6JA5kK698bhwct,d996f9d8,1,15,0.79,1538805092179,Entertainment,1.2482000000000002,0.52
b9XQknNigNnjGdfNk,d996f9d8,1,16,0.33,1538805092180,Entertainment,0.8977999999999998,0.65
Dvi23guox7bBezYea,d996f9d8,1,17,0.39,1538805092182,Entertainment,0.3042,0.645
uXspmSGchaJZZfJ88,d996f9d8,1,18,0.83,1538805092184,Entertainment,1.3778,0.53
TJa8RF3uT7gFKWdhg,225ef7ea,1,1,0.7,1538806074319,Sports,0.18000000000000005,0.6
Ki6wK8z7wPHZ6Pxo5,225ef7ea,1,2,0.41,1538806074320,Sports,0.33619999999999994,0.67
jjggnx3xf73BvTrhb,225ef7ea,1,3,0.29,1538806074321,Sports,0.1682,0.5
CMrLufTwoYyDpghrg,225ef7ea,1,4,0.66,1538806074322,Sports,0.23119999999999996,0.625
MRGDiDdXnYHciNGWc,225ef7ea,1,5,0.34,1538806074322,Sports,0.23120000000000004,0.59
P6qgkCiNHCczDW3x9,225ef7ea,1,6,0.38,1538806074323,Sports,0.2888,0.66
9vydMNAsxQNwtPmgd,225ef7ea,1,7,0.22,1538806189277,Politics,0.0968,0.42
PbtjtkehR6Zu7nhv2,225ef7ea,1,8,0.18,1538806189278,Politics,1.3448000000000002,0.345
F2EWxK6XXFg2dnuPH,225ef7ea,1,9,0.41,1538806189278,Politics,0.33619999999999994,0.585
tApeKjoSj7qF6wnGq,225ef7ea,1,10,0.2,1538806189281,Politics,0.08000000000000002,0.445
aH7unMycbc8jhWyAm,225ef7ea,1,11,0.19,1538806189281,Politics,0.0722,0.51
BypSjxeDEi5hEt23Y,225ef7ea,1,12,0.09,1538806189281,Politics,0.0162,0.42
z5wT9mi8BuLFwdfwd,225ef7ea,1,13,0.7,1538806262421,Entertainment,0.9799999999999999,0.5
xi9fsDcFdmfyfvma2,225ef7ea,1,14,0.61,1538806262421,Entertainment,0.3042,0.62
SR6ka4ukq9wYZDFbA,225ef7ea,1,15,0.3,1538806262422,Entertainment,0.18,0.63
kkj3G7pCP6DkgSa77,225ef7ea,1,16,0.44,1538806262422,Entertainment,0.6272000000000001,0.595
RgnQisscnHhPPZ7YJ,225ef7ea,1,17,0.45,1538806262423,Entertainment,0.405,0.535
8z9q5THPbuvmQBW6Q,225ef7ea,1,18,0.45,1538806262423,Entertainment,0.405,0.58
dgn4RHmi6azp9KdRQ,f8ee3dfe,1,1,0.55,1538809775769,Sports,0.4049999999999999,0.66
mh8XGuHj5uthwMfAb,f8ee3dfe,1,2,0.35,1538809775770,Sports,0.24499999999999997,0.665
