_id,workerId,taskID,forecast,treatment,timestamp,Category,BrierScore,PPPayment
WweXN2gHRqyiAS7ZQ,1dc88070,1,0.72,1,1538802215609,Sports,0.15680000000000002,0.49
fWwo8LHKSuuyAFrtN,1dc88070,2,0.67,1,1538802215611,Sports,0.8978000000000002,0.555
zi983ZminmgE6dWL8,1dc88070,3,0.67,1,1538802215613,Sports,0.8978000000000002,0.47
kLK4nMfPMNrqvnpse,1dc88070,4,0.71,1,1538802215615,Sports,0.16820000000000004,0.61
28nNFnTXyTcweRWhi,1dc88070,5,0.67,1,1538802215617,Sports,0.8978000000000002,0.495
E2rNpt2jYQseK4LnH,1dc88070,6,0.62,1,1538802215618,Sports,0.7688,0.575
Dtae7CncYShWr39Pq,1dc88070,7,0.62,1,1538802227599,Politics,0.7688,0.565
us8hkP3jLbDjHSbYo,1dc88070,8,0.72,1,1538802227601,Politics,0.15680000000000002,0.56
KZ9i68Yc8EwtzQKzZ,1dc88070,9,0.67,1,1538802227602,Politics,0.8978000000000002,0.48
CWRpo2KsAZtoW6NZP,1dc88070,10,0.59,1,1538802227604,Politics,0.6961999999999999,0.435
ohDzcgFLcuvsdh9a9,1dc88070,11,0.61,1,1538802227605,Politics,0.7442,0.36
X8YRB6mnyGFqAhiXm,1dc88070,12,0.57,1,1538802227606,Politics,0.6497999999999999,0.385
3RGB4T7S4GcnNG6Ba,1dc88070,13,0.74,1,1538802237877,Entertainment,1.0952,0.51
9CESKQiT7bo3t7APD,1dc88070,14,0.71,1,1538802237877,Entertainment,0.16820000000000004,0.505
M89bCxg3wJFQyv8Ye,1dc88070,15,0.61,1,1538802237877,Entertainment,0.7442,0.52
BMbKutBDpAufNkmu9,1dc88070,16,0.63,1,1538802237879,Entertainment,0.2738,0.485
BAQqzv3yRkcS9ojJj,1dc88070,17,0.78,1,1538802237879,Entertainment,1.2168,0.505
tjgrv46myxcN2R5vd,1dc88070,18,0.65,1,1538802237880,Entertainment,0.8450000000000001,0.435
JkrNcFt2dn9QWjDH7,4cc88368,1,0.69,1,1538802663680,Sports,0.19220000000000007,0.59
CsRRTRGMq2cKoGgN7,4cc88368,2,0.85,1,1538802663681,Sports,1.4449999999999998,0.59
hkTDYytGNvBnTDzHE,4cc88368,3,0.22,1,1538802663681,Sports,0.0968,0.435
xaT2Mh9EJixaESBhX,4cc88368,4,0.33,1,1538802663681,Sports,0.8977999999999998,0.69
nnHfcg4LtojkDtbZC,4cc88368,5,0.12,1,1538802663681,Sports,0.0288,0.335
t88GEo7aKRkYcMFgZ,4cc88368,6,0.73,1,1538802663681,Sports,1.0657999999999999,0.62
RjvnkZxYGGKgCdDq7,4cc88368,7,0.3,1,1538802714119,Politics,0.18,0.625
Ge7jvWgkHBq5TsEEz,4cc88368,8,0.75,1,1538802714119,Politics,0.125,0.59
AA7GkmrKZbZ5YBCtz,4cc88368,9,0.36,1,1538802714119,Politics,0.2592,0.615
iEz9cBZGYgZWjwaii,4cc88368,10,0.12,1,1538802714119,Politics,0.0288,0.45
4f4meztxRz6WtWEFy,4cc88368,11,0.27,1,1538802714119,Politics,0.1458,0.535
FsCpBioF4ywY3RFYq,4cc88368,12,0.17,1,1538802714120,Politics,0.05780000000000001,0.55
xQeGv5DzgokGCJMkd,4cc88368,13,0.28,1,1538802787419,Entertainment,0.15680000000000002,0.395
e2fXqZDAqKRnd75qh,4cc88368,14,0.36,1,1538802787420,Entertainment,0.8192,0.705
kGp2haNyRqydBuYXj,4cc88368,15,0.67,1,1538802787420,Entertainment,0.8978000000000002,0.525
BK9ZE7QyrZcd8HFXn,4cc88368,16,0.66,1,1538802787420,Entertainment,0.23119999999999996,0.485
ytc7WJaSQAQ9JrJz8,4cc88368,17,0.35,1,1538802787420,Entertainment,0.24499999999999997,0.63
rnfYdFdBo4Cjqt3fd,4cc88368,18,0.27,1,1538802787420,Entertainment,0.1458,0.545
KQDvkkg95KsHbRp2h,26032feb,7,0,1,1538803655609,Politics,0,0.165
ejq5G2wNSoFNvFia2,26032feb,8,0,1,1538803655621,Politics,2,0.21
Y3DgwjhXQx8oa3aGF,26032feb,9,0.18,1,1538803655628,Politics,0.0648,0.49
jQqkJD42iwg2xq4fe,26032feb,10,0.58,1,1538803655630,Politics,0.6728,0.5
ucaXdCd3DFYvhd4Bk,26032feb,11,0.53,1,1538803655632,Politics,0.5618000000000001,0.59
ve94wPd5ExxgcYFMS,26032feb,12,0,1,1538803655634,Politics,0,0.375
sAuNpfxXSbC4855zP,26032feb,13,0.66,1,1538803695143,Entertainment,0.8712000000000001,0.605
FHo9gSdXDyPaCxRaQ,26032feb,14,0.96,1,1538803695151,Entertainment,0.003200000000000006,0.605
fc9FaFbTKEWLqZrYo,26032feb,15,0.01,1,1538803695153,Entertainment,2e-4,0.315
bnGYo8SKgdCrM8Djg,26032feb,16,0.65,1,1538803695160,Entertainment,0.24499999999999997,0.52
XoWQTuwENyT7LhybS,26032feb,17,1,1,1538803695162,Entertainment,2,0.58
pdizQPzxMGgNp8kc3,26032feb,18,0.54,1,1538803695163,Entertainment,0.5832,0.55
